Sijainti	Kohde	Teksti	Tunniste
Hakujen hallinta -> Haun tiedot -välilehti	Diaarinumero		hakujen_hallinta__haun_tiedot___diaarinumero
	Haun nimi		hakujen_hallinta__haun_tiedot___haun_nimi
	Toimintayksikkö		hakujen_hallinta__haun_tiedot___toimintayksikkö
	Projekti		hakujen_hallinta__haun_tiedot___projekti
	Toiminto		hakujen_hallinta__haun_tiedot___toiminto
	Tila		hakujen_hallinta__haun_tiedot___tila
	Hakuaika		hakujen_hallinta__haun_tiedot___hakuaika
	Hakutyyppi		hakujen_hallinta__haun_tiedot___hakutyyppi
	Oppilaitoksen koko		hakujen_hallinta__haun_tiedot___oppilaitoksen_koko
	Koulutusasteet		hakujen_hallinta__haun_tiedot___koulutusasteet
	Maksatus		hakujen_hallinta__haun_tiedot___maksatus
	Hakijan omarahoitusvaatimus		hakujen_hallinta__haun_tiedot___hakijan_omarahoitusvaatimus
	Maksuliikennemenotili		hakujen_hallinta__haun_tiedot___maksuliikennemenotili
	Tositelaji		hakujen_hallinta__haun_tiedot___tositelaji
	Määräraha		hakujen_hallinta__haun_tiedot___määräraha
	Rooli		hakujen_hallinta__haun_tiedot___rooli
	Nimi		hakujen_hallinta__haun_tiedot___nimi
	Sähköposti		hakujen_hallinta__haun_tiedot___sähköposti
	Lisää uusi henkilö		hakujen_hallinta__haun_tiedot___lisää_uusi_henkilö
	Valintaperusteet		hakujen_hallinta__haun_tiedot___valintaperusteet
	Painopistealueet		hakujen_hallinta__haun_tiedot___painopistealueet
Hakujen hallinta -> Hakulomake-välilehti	Ohje		hakujen_hallinta__hakulomake___ohje
Hakujen hallinta -> Päätös-välilehti	Taustaa		hakujen_hallinta__päätös___taustaa
	Myönteisen päätöksen lisäteksti		hakujen_hallinta__päätös___myönteisen_päätöksen_lisäteksti
	Sovelletut säännökset		hakujen_hallinta__päätös___sovelletut_säännökset
	Tekijänoikeudet		hakujen_hallinta__päätös___tekijänoikeudet
	Avustuksen käyttötarkoitus		hakujen_hallinta__päätös___avustuksen_käyttötarkoitus
	Avustuksen käyttöaika		hakujen_hallinta__päätös___avustuksen_käyttöaika
	Selvitysvelvollisuus		hakujen_hallinta__päätös___selvitysvelvollisuus
	Päätöksen hyväksyminen		hakujen_hallinta__päätös___päätöksen_hyväksyminen
	Johtaja		hakujen_hallinta__päätös___johtaja
	Esittelijä		hakujen_hallinta__päätös___esittelijä
	Avustuksen maksuaika		hakujen_hallinta__päätös___avustuksen_maksuaika
	Väliselvitys		hakujen_hallinta__päätös___väliselvitys
	Loppuselvitys		hakujen_hallinta__päätös___loppuselvitys
	Päätöksen liitteet		hakujen_hallinta__päätös___päätöksen_liitteet
	Ratkaisupäivä		hakujen_hallinta__päätös___ratkaisupäivä
Hakujen hallinta -> Väliselvitys-välilehti	Ohje		hakujen_hallinta__väliselvitys___ohje
Hakujen hallinta -> Loppuselvitys-välilehti	Ohje		hakujen_hallinta__loppuselvitys___ohje
Hakujen hallinta -> Maksatus	ASHA-tunniste		hakujen_hallinta__maksatus___asha-tunniste
	Esittelijän sähköpostiosoite		hakujen_hallinta__maksatus___esittelijän_sähköpostiosoite
	Hyväksyjän sähköpostiosoite		hakujen_hallinta__maksatus___hyväksyjän_sähköpostiosoite
	Lisää asiakirja		hakujen_hallinta__maksatus___lisää_asiakirja
	Pitkäviite		hakujen_hallinta__maksatus___pitkäviite
	Tila		hakujen_hallinta__maksatus___tila
	Toimittajan nimi		hakujen_hallinta__maksatus___toimittajan_nimi
	Hanke		hakujen_hallinta__maksatus___hanke
	Maksuun		hakujen_hallinta__maksatus___maksuun
	Pankkitilin IBAM		hakujen_hallinta__maksatus___pankkitilin_ibam
	LKP-tili		hakujen_hallinta__maksatus___lkp-tili
	TaKp-tili		hakujen_hallinta__maksatus___takp-tili
	Tiliöinti		hakujen_hallinta__maksatus___tiliöinti
	Lähetä maksatukset		hakujen_hallinta__maksatus___lähetä_maksatukset
Hakemusten arviointi -> Yksittäisen hankkeen sivu	Ohje		hakemusten_arviointi__yksittäisen_hankkeen_sivu___ohje
Hankkeen sivu -> Arviointi-välilehti	Valmistelijan huomiot		hankkeen_sivu__arviointi___valmistelijan_huomiot
	Kommentit		hankkeen_sivu__arviointi___kommentit
	Perustelut hakijalle suomeksi		hankkeen_sivu__arviointi___perustelut_hakijalle_suomeksi
	Pyydä täydennystä		hankkeen_sivu__arviointi___pyydä_täydennystä
	Huomautus päätöslistaan		hankkeen_sivu__arviointi___huomautus_päätöslistaan
	Talousarvio		hankkeen_sivu__arviointi___talousarvio
	Muokkaa hakemusta		hankkeen_sivu__arviointi___muokkaa_hakemusta
	Lähteä sähköpostihistoria		hankkeen_sivu__arviointi___lähteä_sähköpostihistoria
Hankkeen sivu -> Väliselvitys-välilehti	Valmistelijan huomiot		hankkeen_sivu__väliselvitys___valmistelijan_huomiot
Hankkeen sivu -> Loppuselvitys-välilehti	Valmistelijan huomiot		hankkeen_sivu__loppuselvitys___valmistelijan_huomiot
Hankkeen sivu -> Seuranta-välilehti	Salli näkyvyys ulkoisessa järjestelmässä		hankkeen_sivu__seuranta___salli_näkyvyys_ulkoisessa_järjestelmässä
	Maksuun		hankkeen_sivu__seuranta___maksuun
	Valmistelijan huomiot		hankkeen_sivu__seuranta___valmistelijan_huomiot
	Liitteet		hankkeen_sivu__seuranta___liitteet
